Equipamento;Valor Indenização;Valor Indenização Total;Patrimônio;Marca;Modelo;Peso;Peso Total;Valor Patrimônio;Tipo Patrimônio;Qtde;Contrato;Valor Contrato; Cliente; Dt. Ativação; Dt.Devolução; Obra; Endereço Obra; Status; Tipo de Locação
APRUMADOR S/350;R$ 513,45;R$ 2.053,80;33;MMK;-;11,41;45,64;R$ 182,00;Próprio;4;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
APRUMADOR S/350;R$ 513,45;R$ 4.107,60;33;MMK;-;11,41;91,28;R$ 182,00;Próprio;8;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
APRUMADOR S/350;R$ 513,45;R$ 2.053,80;33;MMK;-;11,41;45,64;R$ 182,00;Próprio;4;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
APRUMADOR S/350;R$ 513,45;R$ 1.026,90;33;MMK;-;11,41;22,82;R$ 182,00;Próprio;2;141;R$ 24.230,27;TOKMA PARTICIPACOES LTDA;10/09/2025;31/03/2026;ED ASPEN;Avenida Saturnino de Brito, 174, Enseada do Sua, Vitória;ATIVO;Mensal
ARCO DE GC;R$ 195,75;R$ 1.566;203;-;-;3,52;28,16;R$ 0,00;Próprio;8;164;R$ 7.847,63;CONSÓRCIO CORREDOR NOVA LINDEMBERGH;02/03/2026;01/05/2026;SEMBOI - CONS CORREDOR NOVA LINDENBERG;RUA JOSE RAMOS DE OLIVEIRA, Nossa srª da Penha, VILA VELHA/ES;ATIVO;Mensal
BAG;R$ 135;R$ 135;128;-;-;3;3;R$ 265,85;Próprio;1;168;R$ 21.844,64;Antônio Medeiros Madeira;04/03/2026;02/04/2026;ALAMEDA DAS CASTANHEIRAS;Rua Alameda das Castanheiras _ Quadra AE  Lote 005;ATIVO;Mensal
BAG;R$ 135;R$ 135;128;-;-;3;3;R$ 265,85;Próprio;1;165;R$ 20.065,21;QUALITY CONSTRUTORA E INCORPORADORA LTDA;23/02/2026;31/03/2026;ALPHAVILLE 3 PRAIAS - RES. EVERSON DADALTO;Alphaville 3 Praias - Guarapari/ES;ATIVO;Mensal
BAG;R$ 135;R$ 405;128;-;-;3;9;R$ 265,85;Próprio;3;146;R$ 62.182,16;DW EMPREENDIMENTOS IMOBILIARIOS LTDA;03/10/2025;31/03/2026;Residência Carone;AVENIDA PIETRANGELO VIVAQUA DEBIASE 1, 100, PRAIA DO MORRO, GUARAPARI, CEP 29.216-900, CONDOMINIO ALDEIA DA PRAIA S E T O R C - 0 2 ;ATIVO;Mensal
BAG;R$ 135;R$ 135;128;-;-;3;3;R$ 265,85;Próprio;1;146;R$ 62.182,16;DW EMPREENDIMENTOS IMOBILIARIOS LTDA;03/10/2025;31/03/2026;Residência Carone;AVENIDA PIETRANGELO VIVAQUA DEBIASE 1, 100, PRAIA DO MORRO, GUARAPARI, CEP 29.216-900, CONDOMINIO ALDEIA DA PRAIA S E T O R C - 0 2 ;ATIVO;Mensal
BARRA DE LIGAÇÃO FCH 90;R$ 118,80;R$ 4.276,80;197;-;-;3;108;R$ 0,00;Próprio;36;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
BARRA DE LIGAÇÃO FCH 90;R$ 118,80;R$ 5.702,40;197;-;-;3;144;R$ 0,00;Próprio;48;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
BARRA DE LIGAÇÃO FCH 90;R$ 118,80;R$ 11.404,80;197;-;-;3;288;R$ 0,00;Próprio;96;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
BARRA DE LIGAÇÃO FCH 90;R$ 118,80;R$ 2.257,20;197;-;-;3;57;R$ 0,00;Próprio;19;159;R$ 33.556,48;ENGIX CONSTRUCOES E SERVICOS LTDA;06/01/2026;01/05/2026;Ginasio Jones dos Santos DED;Bento Ferreira, Vitória - ES;ATIVO;Mensal
BARRA DE LIGAÇÃO FCH 90;R$ 118,80;R$ 10.692;197;-;-;3;270;R$ 0,00;Próprio;90;135;R$ 128.535,17;PHD CONSTRUCOES E PAVIMENTACOES LTDA;29/07/2025;31/03/2026;Teatro Glória;Av. Jerônimo Monteiro, 428 - Centro - Vitória;ATIVO;Mensal
BARRA S050;R$ 37,80;R$ 75,60;114;Lorenge / Iterforma / torcisão;-;0,84;1,68;R$ 28,00;Próprio;2;59;R$ 52.999,90;FAE CONSTRUCOES E SERVICOS LTDA;07/05/2024;01/05/2026;Colégio São José;Av. Luciano das Neves, 500 - Centro de Vila Velha, Vila Velha - ES, 29100-201;ATIVO;Mensal
BARRA S050;R$ 37,80;R$ 604,80;114;Lorenge / Iterforma / torcisão;-;0,84;13,44;R$ 28,00;Próprio;16;130;R$ 74.284,42;CLÍNICA OFTALMOLÓGICA BAHIA GOING LTDA - ME;27/06/2025;31/03/2026;PRIME OFTALMOLOGIA - 2 FASE da obra;Rua Alberto Sartório, 173, Universitário, São Mateus,  CEP29933-400;ATIVO;Mensal
BARRA S075;R$ 56,70;R$ 1.077,30;30;Lorenge / Iterforma / torcisão;-;1,26;23,94;R$ 28,00;Próprio;19;59;R$ 52.999,90;FAE CONSTRUCOES E SERVICOS LTDA;07/05/2024;01/05/2026;Colégio São José;Av. Luciano das Neves, 500 - Centro de Vila Velha, Vila Velha - ES, 29100-201;ATIVO;Mensal
BARRA S075;R$ 56,70;R$ 12.927,60;30;Lorenge / Iterforma / torcisão;-;1,26;287,28;R$ 28,00;Próprio;228;42;R$ 59.282,94;Onix Empreendimentos Imobiliarios Ltda;06/12/2023;01/05/2026;Ed Biarritz Residence;Av Miramar, lotes 01, 02, 03, 04, 17 e 18, Quadra 16, Enseada Azul , Guarapari/ ES -Cep 29206-070;ATIVO;Mensal
BARRA S075;R$ 56,70;R$ 12.474;30;Lorenge / Iterforma / torcisão;-;1,26;277,2;R$ 28,00;Próprio;220;173;R$ 5.490,10;Idalberto Luiz Moro;17/03/2026;15/04/2026;RESIDENCIAL IDALBERTO MORO;Rua dos Curiós, Lote G26, Aldeia da Praia, Praia do Morro, Guarapari/ES;ATIVO;Mensal
